"sep=#"
Timestamp#Gadget#ScreenW (px)#ScreenH (px)#ScreenW (cm)#ScreenH (cm)#System_keyboard#Keyboard type#Interaction style#Orientation#Time presented in task#Source text hidden in task#Cursor manipulation allowed#Phrase repetition allowed#Test session name#Corpus filepath#Username#Source phrase ID#P: Source phrase text#|P|: Source phrase length#T: Transcribed phrase text#|T|: Transcribed phrase length#IS: Input stream#|IS|: Input stream length#C#INF#F#IF#IFc#IFe#Time#KSPC: Keystrokes per character#KSPS: Keystrokes per second#CPS: Characters per second#WPM: Words per minute#WPMadjusted#TER: Total error rate#CER: Corrected error rate#NCER: Not corrected error rate#CBRER: Corrected-But-Right error rate#CAWER: Corrected-And-Wrong error rate#CE: Correction Efficiency#PC: Participant Conscientiousness#UB: Utilized Bandwidth#WB: Wasted Bandwidth#
2022-01-17 08:36:17.017#HUAWEI-ANE-LX2#1080#2004#6,30#11,78#Tipkovnica Microsoft SwiftKey#default#One-handed#Portrait#true#false#false#false#Antonio#MacKenzie500_assetFile#Antonio#404#dinosaurs have been extinct for ages#36#dinosaur have been extinct for ages#35#ddddddddd< hhhh bbbb eeeeee<ee<<<<eeee fff aaaa#47#35#1#6#6#0#6#20,81#1,333#2,211#1,63#19,61#19,14#16,67%#14,29%#2,38%#0,00%#14,29%#1,000#0,86#72,92%#27,08%
2022-01-17 08:39:02.002#HUAWEI-ANE-LX2#1080#2004#6,30#11,78#Tipkovnica Microsoft SwiftKey#default#One-handed#Portrait#true#false#false#false#Antonio#MacKenzie500_assetFile#Antonio#112#world population is growing#27#world population is growing#27#wwwww ppppppppp<p<<<<ppppp ii gg<gggggg#39#27#0#6#6#0#6#15,79#1,444#2,407#1,65#19,76#19,76#18,18%#18,18%#0,00%#0,00%#18,18%#1,000#1,00#69,23%#30,77%
2022-01-17 08:39:19.019#HUAWEI-ANE-LX2#1080#2004#6,30#11,78#Tipkovnica Microsoft SwiftKey#default#One-handed#Portrait#true#false#false#false#Antonio#MacKenzie500_assetFile#Antonio#2#prevailing wind from the east#29#prevaling wind from the east#28#pp<ppp<pppppp <<<pp wwww ffff ttt eeee#38#28#1#5#5#0#5#14,60#1,345#2,534#1,85#22,19#21,54#17,65%#14,71%#2,94%#0,00%#14,71%#1,000#0,83#71,79%#28,21%
2022-01-17 08:39:43.043#HUAWEI-ANE-LX2#1080#2004#6,30#11,78#Tipkovnica Microsoft SwiftKey#default#One-handed#Portrait#true#false#false#false#Antonio#MacKenzie500_assetFile#Antonio#497#employee recruitment takes a lot of effort#42#employee recruitment takes a lot of effort#42#eee<eeeeee rrrrrrrrr<r<r<rrr ttttt<t a lll oo eeeeee#52#42#0#5#5#0#5#21,26#1,238#2,399#1,93#23,14#23,14#10,64%#10,64%#0,00%#0,00%#10,64%#1,000#1,00#80,77%#19,23%
2022-01-17 08:40:01.001#HUAWEI-ANE-LX2#1080#2004#6,30#11,78#Tipkovnica Microsoft SwiftKey#default#One-handed#Portrait#true#false#false#false#Antonio#MacKenzie500_assetFile#Antonio#15#my favorite subject is psychology#33#my favorite subject is psychology#33#mm ffffffff sssssss ii ppp<pppppppp#35#33#0#1#1#0#1#16,64#1,061#2,044#1,92#23,08#23,08#2,94%#2,94%#0,00%#0,00%#2,94%#1,000#1,00#94,29%#5,71%
2022-01-17 08:40:12.012#HUAWEI-ANE-LX2#1080#2004#6,30#11,78#Tipkovnica Microsoft SwiftKey#default#One-handed#Portrait#true#false#false#false#Antonio#MacKenzie500_assetFile#Antonio#25#you must be getting old#23#you must be getting old#23#yyy mmmm m<bb f<ggggggg ooo#27#23#0#2#2#0#2#9,23#1,174#2,818#2,38#28,61#28,61#8,00%#8,00%#0,00%#0,00%#8,00%#1,000#1,00#85,19%#14,81%
2022-01-17 08:40:36.036#HUAWEI-ANE-LX2#1080#2004#6,30#11,78#Tipkovnica Microsoft SwiftKey#default#One-handed#Portrait#true#false#false#false#Antonio#MacKenzie500_assetFile#Antonio#306#a security force of eight thousand#34#a security force of eight thousand#34#a ssssss<sss d<fffff <<f oo eeeee tttttttt#42#34#0#4#4#1#3#20,03#1,235#2,047#1,65#19,77#19,77#10,53%#10,53%#0,00%#2,63%#7,89%#1,000#1,00#80,95%#19,05%
2022-01-17 08:40:55.055#HUAWEI-ANE-LX2#1080#2004#6,30#11,78#Tipkovnica Microsoft SwiftKey#default#One-handed#Portrait#true#false#false#false#Antonio#MacKenzie500_assetFile#Antonio#135#parking lot is full of trucks#29#parking lot is full of trucks#29#lll<<<ppppppp <<<pp lll<l j<ii ffff oo tttttt#45#29#0#8#8#1#7#17,17#1,552#2,563#1,63#19,57#19,57#21,62%#21,62%#0,00%#2,70%#18,92%#1,000#1,00#64,44%#35,56%
2022-01-17 08:41:15.015#HUAWEI-ANE-LX2#1080#2004#6,30#11,78#Tipkovnica Microsoft SwiftKey#default#One-handed#Portrait#true#false#false#false#Antonio#MacKenzie500_assetFile#Antonio#303#a very traditional way to dress#31#a very traditional way to dress#31#a vvv<vv ttttttttt<<<<t<tttttt www<w o<tt ddddd#47#31#0#8#8#2#6#18,17#1,516#2,532#1,65#19,82#19,82#20,51%#20,51%#0,00%#5,13%#15,38%#1,000#1,00#65,96%#34,04%
2022-01-17 08:41:38.038#HUAWEI-ANE-LX2#1080#2004#6,30#11,78#Tipkovnica Microsoft SwiftKey#default#One-handed#Portrait#true#false#false#false#Antonio#MacKenzie500_assetFile#Antonio#333#construction makes traveling difficult#38#construction makes traveling difficult#38#ccccccc<<<<<ccccccc<cccc mmmmm ttt<<tttttttt ddddddddd#54#38#0#8#8#0#8#20,89#1,421#2,537#1,77#21,25#21,25#17,39%#17,39%#0,00%#0,00%#17,39%#1,000#1,00#70,37%#29,63%
